canonical_smiles,Molecular_Weight,LogP,TPSA,H_Bond_Donors,H_Bond_Acceptors,Rotatable_Bonds,Ring_Count,Heavy_Atom_Count,Fraction_CSP3,Aromatic_Rings,Molar_Refractivity,Num_Heteroatoms,LogS,BBB,Toxic,Num_Aromatic_Carbocycles,BalabanJ,Labute_ASA
B#N,24.819,-0.36572,23.79,0.0,1.0,0.0,0.0,2.0,0.0,0.0,7.478999999999999,2.0,-6.394784279,,,0.0,3.0,13.910622059767006
B12B3B4B1C234,55.259,-1.3084000000000002,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,25.709,4.0,-4.7424030214,,,0.0,2.7110835055998654,31.938631004787503
Br/C=C/Br,185.846,2.2474,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,26.994,2.0,-1.7415,,,0.0,2.549193338482967,42.14968532132462
Br/C=C\Br,185.846,2.2474,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,26.994,2.0,-1.3195,,,0.0,2.549193338482967,42.14968532132462
BrC(Br)(Br)Br,331.62699999999995,3.1773,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,38.439,4.0,-3.1404,,,0.0,3.0237157840738176,64.20944145039498
BrC(Br)Br,252.731,2.4547,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,30.569,3.0,-1.9113,1.0,0.0,0.0,2.3237900077244498,50.341893844753635
BrC(Br)C(Br)(Br)Br,424.55,3.9408,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,51.154,5.0,,,1.0,0.0,3.541196965079901,84.44193117043295
BrC(Br)C(Br)Br,345.654,3.2182000000000004,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,43.284000000000006,4.0,-2.72,,0.0,0.0,2.9934972434784735,70.57438356479159
BrC/C=C/CBr,213.9,2.3324000000000007,0.0,0.0,0.0,2.0,0.0,6.0,0.5,0.0,36.72800000000001,2.0,,,0.0,0.0,2.7343859935615478,54.879569550117836
BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,641.6999999999999,6.921600000000004,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,103.99200000000005,6.0,-6.9904281999,,,0.0,2.5996709849747743,160.95306876651117
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,641.6999999999999,6.921600000000004,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,103.99200000000005,6.0,-7.8728,,1.0,0.0,2.612152805754491,160.95306876651117
BrC1CCCCC1,163.05799999999996,2.7140000000000004,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,35.8,1.0,-2.2943,,,0.0,2.1229179499593664,53.42567805192473
BrC=CBr,185.846,2.2474,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,26.994,2.0,-1.32,,,0.0,2.549193338482967,42.14968532132462
BrCBr,173.83499999999998,1.7337,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,22.721,2.0,-1.2858947125,,0.0,0.0,1.6329931618554523,36.47434623911227
BrCC(Br)(Br)Br,345.654,3.2198,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,43.306,4.0,,,1.0,0.0,3.168489872670569,70.57438356479159
BrCC(Br)Br,266.758,2.4972000000000003,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,35.43600000000001,3.0,-2.7272,,,0.0,2.5395388613593908,56.70683595915024
BrCC(Br)C1CCC(Br)C(Br)C1,427.8,4.471900000000002,0.0,0.0,0.0,2.0,1.0,12.0,1.0,0.0,69.28000000000003,4.0,,,1.0,0.0,2.394563056167117,107.75820509764199
BrCC(CBr)(CBr)CBr,387.735,3.5524000000000013,0.0,0.0,0.0,4.0,0.0,9.0,1.0,0.0,57.609000000000016,4.0,-5.3844,,,0.0,3.824684203207495,89.66920990798141
BrCC1CO1,136.976,0.7801,12.53,0.0,1.0,1.0,1.0,5.0,1.0,0.0,23.533999999999995,2.0,,,0.0,0.0,1.9989394851788977,39.44439693824177
BrCCBr,187.862,1.7762,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,27.588,2.0,-1.68,,0.0,0.0,1.9747448713915894,42.83928835350887
BrCCCBr,201.889,2.166300000000001,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,32.20499999999999,2.0,-2.0747,,0.0,0.0,2.19060968716425,49.20423046790548
BrCCCCBr,215.916,2.556400000000001,0.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,36.822,2.0,-2.7902167817000003,,1.0,0.0,2.3390923149762908,55.569172582302095
BrCCCCCBr,229.943,2.946500000000001,0.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,41.439000000000014,2.0,,,0.0,0.0,2.447472887876344,61.93411469669871
BrCCCCCCBr,243.97,3.3366000000000025,0.0,0.0,0.0,5.0,0.0,8.0,1.0,0.0,46.056000000000026,2.0,,,0.0,0.0,2.53006045688352,68.29905681109531
BrCCOc1ccccc1,201.063,2.4603,9.23,0.0,1.0,3.0,1.0,10.0,0.25,1.0,45.73100000000002,2.0,,,0.0,1.0,2.4265223465879537,69.14238018343842
BrCCc1ccccc1,185.064,2.624000000000001,0.0,0.0,0.0,2.0,1.0,9.0,0.25,1.0,43.940000000000026,1.0,-3.6757,,0.0,1.0,2.61489994009295,64.02883495393154
BrCc1ccc(Br)cc1,249.933,3.344000000000001,0.0,0.0,0.0,1.0,1.0,9.0,0.1428571428571428,1.0,46.77300000000002,2.0,,,0.0,1.0,2.881555877646136,71.5314404451763
BrCc1cccc(Oc2ccccc2)c1,263.134,4.373800000000003,9.23,0.0,1.0,3.0,2.0,15.0,0.0769230769230769,2.0,65.58900000000003,2.0,,,1.0,2.0,2.1735976283693983,97.83453227510586
BrCc1ccccc1,171.037,2.5815,0.0,0.0,0.0,1.0,1.0,8.0,0.1428571428571428,1.0,39.07300000000002,1.0,,,0.0,1.0,2.8320858350070908,57.66389283953493
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,551.49,6.261600000000001,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,72.642,6.0,-9.5374,,1.0,1.0,3.6035674514745475,120.6366887533451
Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,971.226,11.096799999999998,0.0,0.0,0.0,3.0,2.0,24.0,0.1428571428571428,2.0,137.29199999999994,10.0,-9.1299878036,,,2.0,2.4758634295694653,223.8938576107678
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,959.171,11.1039,9.23,0.0,1.0,2.0,2.0,23.0,0.0,2.0,129.958,11.0,-9.9818960396,,,2.0,2.712767402893689,216.27751861148144
Brc1c(NC2=NCCN2)ccc2nccnc12,292.14000000000004,1.7634,62.2,2.0,5.0,1.0,3.0,17.0,0.1818181818181818,2.0,71.16540000000002,6.0,,,0.0,1.0,2.019849955318147,106.50395326150333
Brc1c2ccccc2c(Br)c2ccccc12,336.02600000000007,5.518000000000002,0.0,0.0,0.0,0.0,3.0,16.0,0.0,3.0,76.85400000000003,2.0,,,1.0,3.0,2.6661476433549485,110.5298273942501
Brc1c2ccccc2cc2ccccc12,257.13000000000005,4.755500000000002,0.0,0.0,0.0,0.0,3.0,15.0,0.0,3.0,69.15400000000004,1.0,,,1.0,3.0,2.5979683595627105,96.66227978860876
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br,627.588,7.928600000000002,0.0,0.0,0.0,1.0,2.0,18.0,0.0,2.0,98.078,6.0,,,1.0,2.0,2.6652239044499515,155.69378295940913
Brc1cc(Br)c(-c2ccccc2)c(Br)c1,390.9,5.641100000000002,0.0,0.0,0.0,1.0,2.0,15.0,0.0,2.0,74.97800000000002,3.0,-7.3,,,2.0,2.635224937794043,114.09114014248509
Brc1cc(Br)c(Br)cc1Br,393.698,4.7366,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,57.242,4.0,-6.98,,,1.0,3.2824629074535228,92.9015935420624
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,687.6400000000001,7.719400000000003,18.46,0.0,2.0,5.0,2.0,22.0,0.1428571428571428,2.0,110.074,8.0,-6.5363,,,2.0,1.95980797360673,178.6507576472161
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,643.587,8.053900000000002,9.23,0.0,1.0,2.0,2.0,19.0,0.0,2.0,99.15800000000002,7.0,,,0.0,2.0,2.4154025216644075,160.807328188916
Brc1cc(Br)c(Oc2cc(Br)cc(Br)c2Br)c(Br)c1,643.587,8.053900000000002,9.23,0.0,1.0,2.0,2.0,19.0,0.0,2.0,99.15800000000002,7.0,-8.1979,,,2.0,2.475930381731033,160.807328188916
Brc1cc(Br)cc(Br)c1,314.802,3.974100000000001,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,49.54200000000001,3.0,-5.6004,,,1.0,3.165670309917317,79.03404593642105
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,801.3789999999999,9.5789,9.23,0.0,1.0,2.0,2.0,21.0,0.0,2.0,114.558,9.0,,,0.0,2.0,2.5386450742168876,188.54242340019874
Brc1cc2ccccc2c2ccccc12,257.13000000000005,4.755500000000002,0.0,0.0,0.0,0.0,3.0,15.0,0.0,3.0,69.15400000000004,1.0,,,0.0,3.0,2.6384478838128724,96.66227978860876
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,483.77900000000005,6.636000000000001,13.14,0.0,1.0,0.0,3.0,17.0,0.0,3.0,84.52000000000001,5.0,-6.8395,,,2.0,2.5110009946515177,131.05925186960965
Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,785.38,9.4536,0.0,0.0,0.0,1.0,2.0,20.0,0.0,2.0,113.478,8.0,-9.351,,,2.0,2.8747142466559583,183.42887817069186
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,627.588,7.928600000000003,0.0,0.0,0.0,1.0,2.0,18.0,0.0,2.0,98.078,6.0,-7.7563,,,2.0,2.7065514301640414,155.69378295940913
Brc1ccc(-c2ccc(Br)cc2)cc1,312.004,4.878600000000002,0.0,0.0,0.0,1.0,2.0,14.0,0.0,2.0,67.27800000000002,2.0,-7.74,,,2.0,2.396509039726096,100.22359253684374
Brc1ccc(-c2ccccc2)cc1,233.108,4.116100000000002,0.0,0.0,0.0,1.0,2.0,13.0,0.0,2.0,59.57800000000002,1.0,-5.5526,,0.0,2.0,2.4238559727704243,86.35604493120236
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,548.692,7.166100000000003,0.0,0.0,0.0,1.0,2.0,17.0,0.0,2.0,90.378,5.0,-9.7256,,,2.0,2.6779540918569533,141.82623535376777
Brc1ccc(Br)c(-c2cc(Br)ccc2Br)c1,469.796,6.403600000000003,0.0,0.0,0.0,1.0,2.0,16.0,0.0,2.0,82.678,4.0,-8.06,,,2.0,2.6616827212373178,127.95868774812642
Brc1ccc(Br)c(Br)c1,314.802,3.974100000000001,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,49.54200000000001,3.0,-4.808,,0.0,1.0,3.1716780304409156,79.03404593642107
Brc1ccc(Br)cc1,235.906,3.2116000000000007,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,41.842000000000006,2.0,-4.0717,,0.0,1.0,3.0324555320336755,65.16649833077969
Brc1ccc(I)cc1,282.90599999999995,3.053700000000001,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,46.85900000000001,2.0,-4.452,,,1.0,3.0324555320336755,70.56078884618196
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,564.691,7.291400000000002,9.23,0.0,1.0,2.0,2.0,18.0,0.0,2.0,91.458,6.0,,,1.0,2.0,2.3669730660402712,146.93978058327465
Brc1ccc(Oc2ccc(Br)cc2)cc1,328.003,5.0039000000000025,9.23,0.0,1.0,2.0,2.0,15.0,0.0,2.0,68.35800000000002,3.0,,,1.0,2.0,2.1467113756182017,105.33713776635061
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,485.795,6.528900000000002,9.23,0.0,1.0,2.0,2.0,17.0,0.0,2.0,83.75800000000001,5.0,,,1.0,2.0,2.3122378354877973,133.0722329776333
Brc1ccc(Oc2ccccc2)cc1,249.107,4.241400000000002,9.23,0.0,1.0,2.0,2.0,14.0,0.0,2.0,60.65800000000003,2.0,,,0.0,2.0,2.155110851234288,91.46959016070925
Brc1ccc2c(c1)Sc1ccccc1N2,278.17400000000004,4.657300000000001,12.03,1.0,2.0,0.0,3.0,15.0,0.0,2.0,67.98970000000001,3.0,-6.1119,,,2.0,2.108606050374169,101.02318598664642
Brc1ccc2ccccc2c1,207.07,3.6023000000000014,0.0,0.0,0.0,0.0,2.0,11.0,0.0,2.0,51.64800000000002,1.0,-4.4001,,,2.0,2.8289012156206956,73.98061525687353
Brc1cccc(-c2ccccc2)c1,233.108,4.116100000000002,0.0,0.0,0.0,1.0,2.0,13.0,0.0,2.0,59.57800000000002,1.0,,,0.0,2.0,2.4751856733635376,86.35604493120236
Brc1cccc(Br)c1,235.906,3.2116000000000007,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,41.842000000000006,2.0,-3.5435,,,1.0,3.077660437970554,65.16649833077969
Brc1cccc(Br)c1Br,314.802,3.9741,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,49.542,3.0,-5.0402,,,1.0,3.2478347337367026,79.03404593642105
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,339.196,4.617200000000001,53.6,2.0,3.0,2.0,4.0,21.0,0.0,4.0,88.8194,5.0,-2.82,,,2.0,1.8712395592286568,128.91769256118812
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,340.184,4.012200000000001,66.49000000000001,2.0,4.0,2.0,4.0,21.0,0.0,4.0,86.6144,6.0,-3.96,,,2.0,1.8712395592286568,128.10579411053934
Brc1cccc2ccccc12,207.07,3.6023000000000014,0.0,0.0,0.0,0.0,2.0,11.0,0.0,2.0,51.648000000000025,1.0,-4.3468,,,2.0,2.9131611636048604,73.98061525687352
Brc1ccccc1,157.01,2.4491000000000005,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,34.142,1.0,-2.568561457,,0.0,1.0,3.0214653097240864,51.298950725138326
Brc1ccccc1-c1ccccc1,233.108,4.116100000000002,0.0,0.0,0.0,1.0,2.0,13.0,0.0,2.0,59.57800000000002,1.0,,,0.0,2.0,2.5360704460016144,86.35604493120236
Brc1ccccc1Br,235.906,3.2116000000000007,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,41.84200000000001,2.0,-3.5,,,1.0,3.134861511345448,65.16649833077969
Brc1ccccn1,157.998,1.8441,12.89,0.0,1.0,0.0,1.0,7.0,0.0,1.0,31.937,2.0,-0.8806,,,0.0,3.0214653097240864,50.51859870608483
Brc1nc2ccccc2s1,214.087,3.0588000000000006,12.89,0.0,2.0,0.0,2.0,10.0,0.0,2.0,47.32000000000002,3.0,,,1.0,1.0,2.876510166944625,70.84062650823154
C,16.043,0.6361,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.731,0.0,-2.8629,,,0.0,0.0,8.739251027829551
C#C,26.038,0.2493999999999999,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.89,0.0,-1.3364263766,,,0.0,3.0,14.103418534085428
C#CC,40.065000000000005,0.6395,0.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.0,14.507,0.0,-1.0417,,,0.0,2.475534205527556,20.468360648482037
C#CC#C,50.06,0.2528,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,17.665999999999997,0.0,-0.7241,,,0.0,3.137461179749811,25.832528154737915
